案件編號,發生日期,GPS經度,GPS緯度,案件類別名稱,地址類型名稱,發生縣市名稱,受傷人數,天候名稱, 速限-第1當事者,道路型態大類別名稱,事故位置大類別名稱,號誌-號誌種類名稱,事故類型及型態大類別名稱,肇因研判子類別名稱-主要
11001AC191A0002,20210107,120.229231,22.981324,交通事故,一般地址,臺南市東區東門路2段411號,0,雨,50,單路部分,路段,無號誌,汽(機)車本身,未注意車前狀態
11001AC191B0012,20210101,120.211475,22.98931,交通事故,其他,臺南市東區段號東門路一段3號前(東門圓環),1,晴,40,圓環廣場,其他,行車管制號誌,車與車,其他引起事故之違規或不當行為
11001AC191B0027,20210101,120.227152,23.000013,交通事故,交叉路口,臺南市東區小東路段號小東路1986,1,晴,50,單路部分,路段,無號誌,車與車,未注意車前狀態
11001AC191B0052,20210102,120.221859,22.995988,交通事故,交叉路口,臺南市東區長榮路3段號大學路,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,違反特定標誌(線)禁制
11001AC191B0056,20210101,120.237677,22.971835,交通事故,一般地址,臺南市東區自由路2段52號,4,晴,50,交岔路,交叉路口,行車管制號誌,車與車,不明原因肇事
11001AC191B0075,20210101,120.230536,22.982161,交通事故,一般地址,臺南市東區中華東路2段311號,1,晴,50,單路部分,路段,行車管制號誌,車與車,未保持行車安全距離
11001AC191B0108,20210101,120.212214,22.980918,交通事故,交叉路口,臺南市東區大同路段號林森路,2,陰,50,交岔路,交叉路口,行車管制號誌,車與車,未依規定讓車
11001AC191B0111,20210101,120.215941,22.96747,交通事故,交叉路口,臺南市東區大同路2段號國民路,1,晴,50,交岔路,交叉路口,行車管制號誌,汽(機)車本身,未注意車前狀態
11001AC191B0130,20210101,120.221426,22.976082,交通事故,交叉路口,臺南市東區崇明路段號崇明十街,2,晴,40,交岔路,交叉路口,行車管制號誌,車與車,左轉彎未依規定
11001AC191B0132,20210102,120.232238,22.98283,交通事故,交叉路口,臺南市東區中華東路2段243號中華東路224324,1,晴,30,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC191B0161,20210103,120.226567,22.993136,交通事故,一般地址,臺南市東區東安路段95號,1,晴,50,單路部分,路段,無號誌,車與車,變換車道或方向不當
11001AC191B0167,20210103,120.230695,22.969885,交通事故,交叉路口,臺南市東區崇善路段號崇善十六街,2,晴,40,單路部分,路段,無號誌,汽(機)車本身,未注意車前狀態
11001AC191B0173,20210104,120.229424,22.969165,交通事故,交叉路口,臺南市東區崇德十六街段號崇德十七街,1,晴,30,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC191B0182,20210104,120.229065,22.984056,交通事故,一般地址,臺南市東區東門路2段30189號,2,晴,30,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC191B0191,20210104,120.239177,22.998337,交通事故,其他,臺南市東區段號小東路憲兵隊前(416號停車格),1,晴,50,單路部分,路段,無號誌,車與車,起步未注意其他車(人)安全
11001AC191B0202,20210104,120.230827,22.977838,交通事故,交叉路口,臺南市東區文化一街段號文化二街,1,晴,50,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC191B0213,20210104,120.245095,22.981242,交通事故,交叉路口,臺南市東區裕信路段號裕忠一街,2,晴,50,單路部分,路段,無號誌,車與車,其他引起事故之違規或不當行為
11001AC191B0225,20210104,120.211647,22.989167,交通事故,一般地址,臺南市東區東門圓環段號,1,晴,40,圓環廣場,其他,行車管制號誌,車與車,未依規定讓車
11001AC191B0229,20210104,120.221282,22.973826,交通事故,交叉路口,臺南市東區中華東路3段號中華東路3336,1,晴,60,交岔路,交叉路口,行車管制號誌,車與車,違反號誌管制或指揮
11001AC191B0231,20210104,120.232693,22.985552,交通事故,一般地址,臺南市東區中華東路2段968號,1,晴,30,單路部分,路段,無號誌,車與車,未依規定讓車
11001AC191B0245,20210104,120.231022,22.96905,交通事故,其他,臺南市東區段號崇善路與崇善十二街路口,3,晴,50,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC191B0246,20210104,120.233918,22.994259,交通事故,一般地址,臺南市東區中華東路1段196號0,1,晴,40,單路部分,路段,無號誌,車與車,未注意車前狀態
11001AC191B0248,20210104,120.230568,22.998804,交通事故,其他,臺南市東區段號東和路與小東路254巷路口附近,1,晴,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),車與車,違反號誌管制或指揮
11001AC191B0249,20210104,120.223856,22.99165,交通事故,其他,臺南市東區段號林森路二段近東寧路路口,1,晴,50,單路部分,路段,無號誌,汽(機)車本身,未注意車前狀態
11001AC191B0250,20210104,120.233918,22.994259,交通事故,一般地址,臺南市東區中華東路1段196號,2,晴,40,單路部分,路段,無號誌,汽(機)車本身,未注意車前狀態
11001AC191B0262,20210102,120.213842,22.981147,交通事故,其他,臺南市東區段號林森路一段132號,2,晴,40,單路部分,路段,無號誌,車與車,其他裝載不當肇事
11001AC191B0322,20210105,120.23277,22.988566,交通事故,交叉路口,臺南市東區東寧路段號裕農路,1,晴,0,單路部分,路段,無號誌,汽(機)車本身,未注意車前狀態
11001AC191B0331,20210104,120.230933,22.969378,交通事故,一般地址,臺南市東區崇善路段717號0,1,晴,50,單路部分,路段,無號誌,車與車,變換車道或方向不當
11001AC191B0335,20210106,120.223722,22.980239,交通事故,交叉路口,臺南市東區崇學路段號崇善路,1,晴,50,交岔路,其他,行車管制號誌,人與汽(機)車,未依規定讓車
11001AC191B0337,20210105,120.227135,22.995248,交通事故,一般地址,臺南市東區東安路段184號,1,晴,50,單路部分,路段,無號誌,車與車,開啟車門不當而肇事
11001AC191B0344,20210105,120.237873,22.98754,交通事故,一般地址,臺南市東區裕農路段726號,1,晴,50,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC191B0347,20210106,120.235774,22.996125,交通事故,其他,臺南市東區段號後甲一路上(近平實三街),1,晴,50,單路部分,路段,無號誌,車與車,未依規定讓車
11001AC191B0354,20210106,120.234214,22.971529,交通事故,一般地址,臺南市東區仁和路段10947號,2,晴,30,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC191B0359,20210106,120.227405,22.990207,交通事故,交叉路口,臺南市東區東寧路段號怡東路,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,未依規定讓車
11001AC191B0363,20210106,120.248019,22.979829,交通事故,其他,臺南市東區段號裕義路與裕英街路口,2,晴,50,交岔路,交叉路口,行車管制號誌,車與車,起步未注意其他車(人)安全
11001AC191B0374,20210106,120.222466,22.991701,交通事故,交叉路口,臺南市東區東寧路段號東寧路134,1,晴,30,交岔路,交叉路口,行車管制號誌,車與車,未依規定讓車
11001AC191B0377,20210106,120.239403,22.989058,交通事故,交叉路口,臺南市東區裕農路段號裕農三街,1,晴,50,單路部分,路段,行車管制號誌,車與車,未注意車前狀態
11001AC191B0389,20210106,120.215619,22.98589,交通事故,交叉路口,臺南市東區樹林街1段號慶東街,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,其他引起事故之違規或不當行為
11001AC191B0391,20210106,120.213619,22.977855,交通事故,一般地址,臺南市東區大同路2段125號,1,晴,50,單路部分,路段,行車管制號誌,車與車,未保持行車安全距離
11001AC191B0396,20210106,120.211504,22.989744,交通事故,一般地址,臺南市東區北門路1段10號,2,晴,50,單路部分,路段,無號誌,車與車,起步未注意其他車(人)安全
11001AC191B0405,20210106,120.233689,22.970369,交通事故,交叉路口,臺南市東區仁和路段號崇善東路,2,晴,50,交岔路,交叉路口,行車管制號誌,車與車,未依規定讓車
11001AC191B0424,20210107,120.236934,22.986512,交通事故,一般地址,臺南市東區裕農路段66855號,1,陰,30,單路部分,路段,無號誌,汽(機)車本身,未注意車前狀態
11001AC191B0433,20210107,120.216726,22.984646,交通事故,交叉路口,臺南市東區府連路段號府連東路,2,晴,50,交岔路,交叉路口,行車管制號誌,車與車,違反號誌管制或指揮
11001AC191B0454,20210107,120.223437,22.979572,交通事故,交叉路口,臺南市東區榮譽街段號崇學路16,2,晴,30,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC191B0455,20210105,120.23336,22.976385,交通事故,交叉路口,臺南市東區文化二街段號文化三街,1,晴,50,交岔路,交叉路口,行車管制號誌,人與汽(機)車,未保持行車安全間隔
11001AC191B0456,20210107,120.230067,22.986086,交通事故,交叉路口,臺南市東區裕農路段288號裕農路44670,1,晴,30,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC191B0458,20210105,120.230602,22.998815,交通事故,交叉路口,臺南市東區小東路段號裕永路,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,未依規定讓車
11001AC191B0459,20210105,120.220403,22.992021,交通事故,其他,臺南市東區東寧路段42號東寧路42號,1,晴,40,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC191B0463,20210105,120.234017,22.991594,交通事故,交叉路口,臺南市東區中華東路1段號瑞祥街,1,晴,40,交岔路,交叉路口,無號誌,汽(機)車本身,其他引起事故之違規或不當行為
11001AC191B0466,20210104,120.245173,22.986748,交通事故,交叉路口,臺南市東區裕信路段號裕英街,2,晴,50,交岔路,交叉路口,行車管制號誌,車與車,未注意車前狀態
11001AC191B0467,20210107,120.237508,22.974749,交通事故,一般地址,臺南市東區自由路2段218號,1,晴,50,單路部分,路段,無號誌,車與車,未注意車前狀態
11001AC191B0474,20210107,120.220921,22.992808,交通事故,一般地址,臺南市東區東寧路段1518號,1,晴,40,單路部分,路段,無號誌,汽(機)車本身,其他引起事故之違規或不當行為
11001AC191B0475,20210107,120.216972,22.987219,交通事故,一般地址,臺南市東區東門路1段231號,1,晴,40,圓環廣場,路段,無號誌,車與車,未注意車前狀態
11001AC191B0480,20210106,120.222331,22.984613,交通事故,一般地址,臺南市東區崇仁街段1之1號,1,晴,30,交岔路,交叉路口,無號誌,車與車,未注意車前狀態
11001AC191B0492,20210101,120.231907,22.979453,交通事故,一般地址,臺南市東區東門路3段85號,2,晴,60,單路部分,路段,無號誌,車與車,未保持行車安全距離
11001AC191B0495,20210101,120.231232,22.968556,交通事故,一般地址,臺南市東區崇善路段741號,2,晴,50,交岔路,交叉路口,無號誌,車與車,違規超車
11001AC191B0496,20210101,120.23142,22.983454,交通事故,交叉路口,臺南市東區中華東路2段號中華東路2243,1,晴,60,交岔路,交叉路口,行車管制號誌,車與車,違反號誌管制或指揮
11001AC191B0497,20210104,120.230051,22.987216,交通事故,一般地址,臺南市東區裕農路段360號,2,晴,40,單路部分,路段,無號誌,人與汽(機)車,未注意車前狀態
11001AC191B0498,20210105,120.219937,22.983314,交通事故,交叉路口,臺南市東區林森路1段號崇善路,3,晴,40,交岔路,交叉路口,行車管制號誌,車與車,未注意車前狀態
11001AC191B0499,20210108,120.224287,22.976244,交通事故,交叉路口,臺南市東區崇德路段號崇德四街,2,陰,50,交岔路,交叉路口,行車管制號誌,車與車,違反號誌管制或指揮
11001AC191B0512,20210108,120.222934,22.987143,交通事故,交叉路口,臺南市東區林森路段號衛國街,1,晴,40,交岔路,交叉路口,行車管制號誌,車與車,未依規定讓車
11001AC191B0522,20210108,120.214351,22.985864,交通事故,一般地址,臺南市東區光華街段22923號,2,晴,50,交岔路,交叉路口,無號誌,車與車,未注意車前狀態
11001AC191B0524,20210108,120.246794,22.976528,交通事故,交叉路口,臺南市東區裕信六街段號裕華三街,2,晴,50,交岔路,交叉路口,無號誌,車與車,未依規定讓車
